NO|First Name|Last Name|POS|CapHit|Hits|BlockedShots
8|Brent|Burns|Defense|5280000|40|86
5|Jalen|Chatfield|Defense|762500|78|63
81|Dmitry|Orlov|Defense|7750000|11|9
22|Brett|Pesce|Defense|4025000|37|110
76|Brady|Skjei|Defense|5250000|71|62
74|Jaccob|Slavin|Defense|5300000|36|103
