NO|First Name|Last Name|POS|CapHit|Hits|BlockedShots
3|Will|Borgen|Defense|2700000|203|89
8|Brian|Dumoulin|Defense|3150000|123|142
29|Vince|Dunn|Defense|7350000|115|80
39|Ryker|Evans|Defense|897500|88|36
6|Adam|Larsson|Defense|4000000|222|173
24|Jamie|Oleksiak|Defense|4600000|126|115
4|Justin|Schultz|Defense|3000000|30|72
