NO|First Name|Last Name|POS|CapHit|Hits |BlockedShots
25|Brandon|Carlo|Defense|4100000|61|78
28|Derek|Forbort|Defense|3000000|38|44
48|Matt|Grzelcyk|Defense|3687500|21|38
27|Hampus|Lindholm|Defense|6500000|21|69
73|Charlie|McAvoy|Defense|9500000|55|85
12|Kevin|Shattenkirk|Defense|1050000|23|53
38|Parker|Wotherspoon|Defense|775000|34|40
